date,time,open,high,low,close,last_price,volume,oi
2025-09-04,2025-09-04 11:35:25.578470+05:30,24822.4,24823.05,24818.6,24818.7,24818.7,,
2025-09-04,2025-09-04 11:35:26.079193+05:30,24822.4,24823.05,24817.8,24817.8,24817.8,,
2025-09-04,2025-09-04 11:35:26.578438+05:30,24822.4,24823.05,24817.8,24818.4,24818.4,,
2025-09-04,2025-09-04 11:35:27.078506+05:30,24822.4,24823.05,24817.8,24818.2,24818.2,,
2025-09-04,2025-09-04 11:35:27.578521+05:30,24822.4,24823.05,24817.55,24817.55,24817.55,,
2025-09-04,2025-09-04 11:35:28.078616+05:30,24822.4,24823.05,24817.55,24817.6,24817.6,,
2025-09-04,2025-09-04 11:35:28.578387+05:30,24822.4,24823.05,24817.05,24817.05,24817.05,,
2025-09-04,2025-09-04 11:35:29.078439+05:30,24822.4,24823.05,24817.05,24818.15,24818.15,,
2025-09-04,2025-09-04 11:35:29.578353+05:30,24822.4,24823.05,24817.05,24818.3,24818.3,,
2025-09-04,2025-09-04 11:35:30.078592+05:30,24822.4,24823.05,24817.05,24818.75,24818.75,,
2025-09-04,2025-09-04 11:35:30.578441+05:30,24822.4,24823.05,24817.05,24818.3,24818.3,,
2025-09-04,2025-09-04 11:35:31.078445+05:30,24822.4,24823.05,24817.05,24818.3,24818.3,,
2025-09-04,2025-09-04 11:35:31.578364+05:30,24822.4,24823.05,24817.05,24818.3,24818.3,,
2025-09-04,2025-09-04 11:35:32.078764+05:30,24822.4,24823.05,24817.05,24817.9,24817.9,,
2025-09-04,2025-09-04 11:35:32.578487+05:30,24822.4,24823.05,24817.05,24817.6,24817.6,,
2025-09-04,2025-09-04 11:35:33.078396+05:30,24822.4,24823.05,24817.05,24817.2,24817.2,,
2025-09-04,2025-09-04 11:35:33.828391+05:30,24822.4,24823.05,24817.05,24817.35,24817.35,,
2025-09-04,2025-09-04 11:35:34.578623+05:30,24822.4,24823.05,24817.05,24818.05,24818.05,,
2025-09-04,2025-09-04 11:35:35.078311+05:30,24822.4,24823.05,24817.05,24817.85,24817.85,,
2025-09-04,2025-09-04 11:35:35.578245+05:30,24822.4,24823.05,24816.7,24816.7,24816.7,,
2025-09-04,2025-09-04 11:35:36.078554+05:30,24822.4,24823.05,24816.7,24816.8,24816.8,,
2025-09-04,2025-09-04 11:35:36.578365+05:30,24822.4,24823.05,24816.7,24816.7,24816.7,,
2025-09-04,2025-09-04 11:35:37.078346+05:30,24822.4,24823.05,24816.7,24816.9,24816.9,,
2025-09-04,2025-09-04 11:35:37.578351+05:30,24822.4,24823.05,24816.7,24817.3,24817.3,,
2025-09-04,2025-09-04 11:35:38.078441+05:30,24822.4,24823.05,24816.7,24817.3,24817.3,,
2025-09-04,2025-09-04 11:35:38.578258+05:30,24822.4,24823.05,24816.7,24817.15,24817.15,,
2025-09-04,2025-09-04 11:35:39.078983+05:30,24822.4,24823.05,24816.7,24816.7,24816.7,,
2025-09-04,2025-09-04 11:35:39.578340+05:30,24822.4,24823.05,24816.45,24816.45,24816.45,,
2025-09-04,2025-09-04 11:35:39.828251+05:30,24822.4,24823.05,24816.2,24816.2,24816.2,,
2025-09-04,2025-09-04 11:35:40.578266+05:30,24822.4,24823.05,24816.2,24816.45,24816.45,,
2025-09-04,2025-09-04 11:35:41.091642+05:30,24822.4,24823.05,24816.2,24816.7,24816.7,,
2025-09-04,2025-09-04 11:35:41.578439+05:30,24822.4,24823.05,24816.2,24817.1,24817.1,,
2025-09-04,2025-09-04 11:35:42.078513+05:30,24822.4,24823.05,24816.2,24817.3,24817.3,,
