ha_time,ha_color,ha_open,ha_high,ha_low,ha_close,underlying_open,underlying_high,underlying_low,underlying_close,cal1,form1,form2,named_levels,used_formula,triggered,reached_named_levels,reached_named_values,note,chosen_trigger_level,chosen_trigger_value,strike,side,symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_per_contract,pnl_per_lot
2025-09-05 09:46:00+05:30,GREEN,24778.58606779869,24786.15,24772.65,24779.6,24778.58606779869,24786.15,24772.65,24779.6,1.013932201309217,3.186644061257539,,"{'entryA': 24778.58606779869, 'entryB': 24782.963355938744}",form1,True,"entryA,entryB","24778.586,24782.963",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24778.58606779869,24900.0,CE,,,,,,,,
2025-09-05 09:46:00+05:30,GREEN,24778.58606779869,24786.15,24772.65,24779.6,24778.58606779869,24786.15,24772.65,24779.6,1.013932201309217,3.186644061257539,,"{'entryA': 24778.58606779869, 'entryB': 24782.963355938744}",form1,True,"entryA,entryB","24778.586,24782.963",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24778.58606779869,25000.0,CE,,,,,,,,
2025-09-05 09:47:00+05:30,GREEN,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,9.769466100657155,30.704036316351058,,"{'entryA': 24779.093033899346, 'entryB': 24765.24596368365}",form1,True,entryA,24779.093,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24779.093033899346,24600.0,CE,,,,,,,,
2025-09-05 09:47:00+05:30,GREEN,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,9.769466100657155,30.704036316351058,,"{'entryA': 24779.093033899346, 'entryB': 24765.24596368365}",form1,True,entryA,24779.093,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24779.093033899346,24700.0,CE,,,,,,,,
2025-09-05 09:47:00+05:30,GREEN,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,9.769466100657155,30.704036316351058,,"{'entryA': 24779.093033899346, 'entryB': 24765.24596368365}",form1,True,entryA,24779.093,,entryA,24779.093033899346,24800.0,CE,NIFTY2590924800CE,2025-09-05 09:48:00+05:30,80.9,2025-09-05 09:49:00+05:30,88.4,TARGET,3.0,150.0
2025-09-05 09:47:00+05:30,GREEN,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,9.769466100657155,30.704036316351058,,"{'entryA': 24779.093033899346, 'entryB': 24765.24596368365}",form1,True,entryA,24779.093,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24779.093033899346,24900.0,CE,,,,,,,,
2025-09-05 09:47:00+05:30,GREEN,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,24779.093033899346,24795.95,24779.093033899346,24788.862500000003,9.769466100657155,30.704036316351058,,"{'entryA': 24779.093033899346, 'entryB': 24765.24596368365}",form1,True,entryA,24779.093,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24779.093033899346,25000.0,CE,,,,,,,,
2025-09-05 09:48:00+05:30,RED,24783.977766949676,24788.75,24774.25,24782.3875,24783.977766949676,24788.75,24774.25,24782.3875,-1.5902669496754243,-4.997981841837047,,"{'entryA': 24783.977766949676, 'entryB': 24793.747981841836}",form1,True,entryA,24783.978,SKIPPED_BY_BUY_ONLY,,,,,,,,,,,,
2025-09-05 09:49:00+05:30,GREEN,24783.182633474837,24794.35,24778.0,24786.425000000003,24783.182633474837,24794.35,24778.0,24786.425000000003,3.2423665251662896,10.190294793379767,,"{'entryA': 24783.182633474837, 'entryB': 24784.159705206617}",form1,True,"entryA,entryB","24783.183,24784.160",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24783.182633474837,24600.0,CE,,,,,,,,
2025-09-05 09:49:00+05:30,GREEN,24783.182633474837,24794.35,24778.0,24786.425000000003,24783.182633474837,24794.35,24778.0,24786.425000000003,3.2423665251662896,10.190294793379767,,"{'entryA': 24783.182633474837, 'entryB': 24784.159705206617}",form1,True,"entryA,entryB","24783.183,24784.160",NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,entryA,24783.182633474837,24700.0,CE,,,,,,,,
