ha_time,ha_color,cal1,used_formula,candidate_levels,triggered,triggered_levels,strike,side,symbol,note,entry_time,entry_price,exit_time,exit_price,result,pnl_per_contract,pnl_per_lot
2025-09-05 10:35:00+05:30,RED,-9.043729056182201,form1,"[24695.856229056182, 24724.27937751847]",True,[24695.856229056182],24800,PE,NIFTY2590924800PE,,2025-09-05 10:36:00+05:30,147.0,2025-09-05 10:37:00+05:30,145.7,STOP,-1.0,-50.0
2025-09-05 10:35:00+05:30,RED,-9.043729056182201,form1,"[24695.856229056182, 24724.27937751847]",True,[24695.856229056182],24900,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:36:00+05:30,GREEN,2.865635471909627,form1,"[24691.33436452809, 24694.143717088285]",True,"[24691.33436452809, 24694.143717088285]",24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:36:00+05:30,GREEN,2.865635471909627,form1,"[24691.33436452809, 24694.143717088285]",True,"[24691.33436452809, 24694.143717088285]",24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:36:00+05:30,GREEN,2.865635471909627,form1,"[24691.33436452809, 24694.143717088285]",True,"[24691.33436452809, 24694.143717088285]",24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:36:00+05:30,GREEN,2.865635471909627,form1,"[24691.33436452809, 24694.143717088285]",True,"[24691.33436452809, 24694.143717088285]",24800,CE,NIFTY2590924800CE,,2025-09-05 10:37:00+05:30,55.45,2025-09-05 10:38:00+05:30,53.9,STOP,-1.0,-50.0
2025-09-05 10:36:00+05:30,GREEN,2.865635471909627,form1,"[24691.33436452809, 24694.143717088285]",True,"[24691.33436452809, 24694.143717088285]",24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:37:00+05:30,GREEN,4.33281773595445,form1,"[24692.767182264044, 24687.432572829857]",True,[24692.767182264044],24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:37:00+05:30,GREEN,4.33281773595445,form1,"[24692.767182264044, 24687.432572829857]",True,[24692.767182264044],24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:37:00+05:30,GREEN,4.33281773595445,form1,"[24692.767182264044, 24687.432572829857]",True,[24692.767182264044],24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:37:00+05:30,GREEN,4.33281773595445,form1,"[24692.767182264044, 24687.432572829857]",True,[24692.767182264044],24800,CE,NIFTY2590924800CE,,2025-09-05 10:38:00+05:30,53.9,2025-09-05 10:39:00+05:30,59.4,TARGET,3.0,150.0
2025-09-05 10:37:00+05:30,GREEN,4.33281773595445,form1,"[24692.767182264044, 24687.432572829857]",True,[24692.767182264044],24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:38:00+05:30,GREEN,0.3164088679768611,form1,"[24694.933591132023, 24698.255572129216]",True,"[24694.933591132023, 24698.255572129216]",24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:38:00+05:30,GREEN,0.3164088679768611,form1,"[24694.933591132023, 24698.255572129216]",True,"[24694.933591132023, 24698.255572129216]",24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:38:00+05:30,GREEN,0.3164088679768611,form1,"[24694.933591132023, 24698.255572129216]",True,"[24694.933591132023, 24698.255572129216]",24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:38:00+05:30,GREEN,0.3164088679768611,form1,"[24694.933591132023, 24698.255572129216]",True,"[24694.933591132023, 24698.255572129216]",24800,CE,NIFTY2590924800CE,,2025-09-05 10:39:00+05:30,59.4,2025-09-05 10:40:00+05:30,56.1,STOP,-1.0,-50.0
2025-09-05 10:38:00+05:30,GREEN,0.3164088679768611,form1,"[24694.933591132023, 24698.255572129216]",True,"[24694.933591132023, 24698.255572129216]",24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:39:00+05:30,GREEN,6.245704433989886,form1,"[24695.09179556601, 24691.67064320746]",True,[24695.09179556601],24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:39:00+05:30,GREEN,6.245704433989886,form1,"[24695.09179556601, 24691.67064320746]",True,[24695.09179556601],24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:39:00+05:30,GREEN,6.245704433989886,form1,"[24695.09179556601, 24691.67064320746]",True,[24695.09179556601],24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:39:00+05:30,GREEN,6.245704433989886,form1,"[24695.09179556601, 24691.67064320746]",True,[24695.09179556601],24800,CE,NIFTY2590924800CE,,2025-09-05 10:40:00+05:30,56.1,2025-09-05 10:46:00+05:30,59.35,TARGET,3.0,150.0
2025-09-05 10:39:00+05:30,GREEN,6.245704433989886,form1,"[24695.09179556601, 24691.67064320746]",True,[24695.09179556601],24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:40:00+05:30,GREEN,5.985352216994215,form1,"[24698.214647783007, 24689.488893032303]",True,[24698.214647783007],24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:40:00+05:30,GREEN,5.985352216994215,form1,"[24698.214647783007, 24689.488893032303]",True,[24698.214647783007],24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:40:00+05:30,GREEN,5.985352216994215,form1,"[24698.214647783007, 24689.488893032303]",True,[24698.214647783007],24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:40:00+05:30,GREEN,5.985352216994215,form1,"[24698.214647783007, 24689.488893032303]",True,[24698.214647783007],24800,CE,NIFTY2590924800CE,,2025-09-05 10:41:00+05:30,58.75,2025-09-05 10:42:00+05:30,55.75,STOP,-1.0,-50.0
2025-09-05 10:40:00+05:30,GREEN,5.985352216994215,form1,"[24698.214647783007, 24689.488893032303]",True,[24698.214647783007],24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:41:00+05:30,RED,-0.18232389150216477,form1,"[24701.207323891504, 24706.22301794472]",True,[24701.207323891504],24500,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:41:00+05:30,RED,-0.18232389150216477,form1,"[24701.207323891504, 24706.22301794472]",True,[24701.207323891504],24600,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:41:00+05:30,RED,-0.18232389150216477,form1,"[24701.207323891504, 24706.22301794472]",True,[24701.207323891504],24700,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:41:00+05:30,RED,-0.18232389150216477,form1,"[24701.207323891504, 24706.22301794472]",True,[24701.207323891504],24800,PE,NIFTY2590924800PE,,2025-09-05 10:42:00+05:30,142.95,2025-09-05 10:43:00+05:30,139.8,STOP,-1.0,-50.0
2025-09-05 10:41:00+05:30,RED,-0.18232389150216477,form1,"[24701.207323891504, 24706.22301794472]",True,[24701.207323891504],24900,PE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:42:00+05:30,GREEN,0.5963380542452796,form1,"[24701.116161945756, 24704.875794686657]",True,"[24701.116161945756, 24704.875794686657]",24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:42:00+05:30,GREEN,0.5963380542452796,form1,"[24701.116161945756, 24704.875794686657]",True,"[24701.116161945756, 24704.875794686657]",24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:42:00+05:30,GREEN,0.5963380542452796,form1,"[24701.116161945756, 24704.875794686657]",True,"[24701.116161945756, 24704.875794686657]",24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:42:00+05:30,GREEN,0.5963380542452796,form1,"[24701.116161945756, 24704.875794686657]",True,"[24701.116161945756, 24704.875794686657]",24800,CE,NIFTY2590924800CE,,2025-09-05 10:43:00+05:30,57.9,2025-09-05 10:45:00+05:30,55.95,STOP,-1.0,-50.0
2025-09-05 10:42:00+05:30,GREEN,0.5963380542452796,form1,"[24701.116161945756, 24704.875794686657]",True,"[24701.116161945756, 24704.875794686657]",24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:43:00+05:30,GREEN,0.6106690271262778,form1,"[24701.414330972875, 24704.830754486175]",True,"[24701.414330972875, 24704.830754486175]",24500,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:43:00+05:30,GREEN,0.6106690271262778,form1,"[24701.414330972875, 24704.830754486175]",True,"[24701.414330972875, 24704.830754486175]",24600,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:43:00+05:30,GREEN,0.6106690271262778,form1,"[24701.414330972875, 24704.830754486175]",True,"[24701.414330972875, 24704.830754486175]",24700,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
2025-09-05 10:43:00+05:30,GREEN,0.6106690271262778,form1,"[24701.414330972875, 24704.830754486175]",True,"[24701.414330972875, 24704.830754486175]",24800,CE,NIFTY2590924800CE,,2025-09-05 10:44:00+05:30,57.35,2025-09-05 10:45:00+05:30,55.95,STOP,-1.0,-50.0
2025-09-05 10:43:00+05:30,GREEN,0.6106690271262778,form1,"[24701.414330972875, 24704.830754486175]",True,"[24701.414330972875, 24704.830754486175]",24900,CE,,NO_SYMBOL_FOR_STRIKE_IN_SIDE_FILE,,,,,,,
